strain	date	url	pango_lineage	genbank_accession	S1_mutations	clade_membership	recency	mutational_fitness	epiweek	region	emerging_lineage	host	country	division	current_frequency	author	accession	originating_lab	submitting_lab	logistic_growth
FIN/SR121-VE6-H10/2020	2020-10-09		B.1.463	MW717676	3.00	20A	Older	0.04	202041	Europe		Homo sapiens	Finland	Finland		Smura et al C				
PAK/AKUs56/2020	2020-10-09		B.1.471	MW433723	1.00	20A	Older	-0.00	202041	Asia		Homo sapiens	Pakistan	Pakistan		Ghanchi et al A				
PAK/JRCGR-KHI30/2020	2020-06-02		B.1.471	MW447620	1.00	20A	Older	0.01	202023	Asia		Homo sapiens	Pakistan	Sindh		Shakeel et al A				
PAK/JRCGR-KHI48/2020	2020-08-04		B.1.471	MW447636	1.00	20A	Older	0.01	202032	Asia		Homo sapiens	Pakistan	Sindh		Shakeel et al B				
OU999596	2020-04-29		B.1	OU999596	1.00	20A	Older	0.01	202018	Asia		Homo sapiens	Saudi Arabia	Jeddah		Naeem et al A		King Abdullah University of Science and Technology (KAUST)	King Abdullah University of Science and Technology	
OU999623	2020-03-26		B.1	OU999623	1.00	20A	Older	0.01	202013	Asia		Homo sapiens	Saudi Arabia	Makkah		Naeem et al B		King Abdullah University of Science and Technology (KAUST)	King Abdullah University of Science and Technology	
IDN/RSDS-RCVTD-UNAIR-33-B/2020	2020-06-24		B.1	MZ570402	1.00	20A	Older	0.01	202026	Asia		Homo sapiens	Indonesia	Indonesia		Rantam et al A				
EGY/CPHL-NRC-10/2020	2020-04-12		B.1	MW451245	1.00	20A	Older	0.02	202016	Africa		Homo sapiens	Egypt	Egypt		Roshdy et al A				
EGY/CUNCI-HGC3I012/2020	2020-06-02		B.1	MT627394	1.00	20A	Older	0.01	202023	Africa		Homo sapiens	Egypt	Egypt		Zekri et al D				
EGY/CPHL-NRC-23/2020	2020-03-13		B.1	MW451600	1.00	20A	Older	0.01	202011	Africa		Homo sapiens	Egypt	Egypt		Kayed et al A				
Japan/P3-1/2020	2020-03-09		B.1	LC547521	1.00	20A	Older	0.01	202011	Asia		Homo sapiens	Japan	Ishikawa		Sekizuka et al B				
TUR/KOC-IST-SP3/2020	2020-05-18		B.1.9.5	MW199143	1.00	20A	Older	0.03	202021	Europe		Homo sapiens	Turkey	Turkey		Ozer et al				
TUR/KOC-IST-B91/2020	2020-04-08		B.1.9.5	MT675958	1.00	20A	Older	0.01	202015	Europe		Homo sapiens	Turkey	Turkey		Can et al				
TUR/Kafkas-SARSCoV2-0018/2020	2020-07-15		B.1.9.5	MT787645	1.00	20A	Older	0.01	202029	Europe		Homo sapiens	Turkey	Turkey		Karamese et al				
PER/covper055/2020	2020-04-01		B.1	MW030198	2.00	20A	Older	0.01	202014	South America		Homo sapiens	Peru	Peru		Juscamayta et al H				
NZL/20CV0294/2020	2020-03-26		B.1	OK427000	1.00	20A	Older	0.01	202013	Oceania		Homo sapiens	New Zealand	Auckland		Ren et al J		Canterbury Health Laboratories	Institute of Environmental Science and Research	
PER/covper079/2020	2020-03-19		B.1	MW030215	1.00	20A	Older	0.01	202012	South America		Homo sapiens	Peru	Peru		Juscamayta et al I				
USA/MD-MDH-0182/2020	2020-03-11		B.1	MW010247	1.00	20A	Older	0.01	202011	North America		Homo sapiens	USA	Maryland		Keller et al B				
VEN/Zul6567/2021	2021-05-08		B.1.625	MZ611975	8.00	20A	Older	0.44	202118	South America		Homo sapiens	Venezuela	Venezuela		Pujol et al A				
USA/NY-UW-651/2020	2020-06-26		B.1.112	MT772428	1.00	20A	Older	-0.00	202026	North America		Homo sapiens	USA	New York		Moreno et al B				
USA/CO-UW-739/2020	2020-06-29		B.1.112	MT772510	1.00	20A	Older	-0.00	202027	North America		Homo sapiens	USA	Colorado		Moreno et al C				
USA/WI-UW-371/2020	2020-05-20		B.1	MT772522	2.00	20A	Older	0.01	202021	North America		Homo sapiens	USA	Wisconsin		Moreno et al D				
VEN/12MZ/2020	2020-05-22		B.1.111	MT907520	1.00	20A	Older	0.01	202021	South America		Homo sapiens	Venezuela	Venezuela		Loureiro et al B				
EGY/CUNCI-HGC3I011/2020	2020-06-02		B.1	MT627405	1.00	20A	Older	0.01	202023	Africa		Homo sapiens	Egypt	Egypt		Zekri et al E				
USA/SC_2108_T42/2020	2020-09-20		B.1.436	MW480000	1.00	20A	Older	0.01	202039	North America		Homo sapiens	USA	South Carolina		Arnold et al A				
EGY/CUNCI-HGC7I026/2020	2020-07-19		B.1	MT814698	1.00	20A	Older	0.01	202030	Africa		Homo sapiens	Egypt	Egypt		Zekri et al F				
EGY/CPHL-NRC-22/2020	2020-03-13		B.1	MW451601	1.00	20A	Older	0.01	202011	Africa		Homo sapiens	Egypt	Egypt		Kayed et al B				
TUN/Tunisia_MHT_1/2020	2020-03-21		B.1	MT559037	1.00	20A	Older	0.02	202012	Africa		Homo sapiens	Tunisia	Bizerte		Handrick et al				
SAU/KAIMRC-S135/2020	2020-11-15		B.1	MZ895658	2.00	20A	Older	0.15	202047	Asia		Homo sapiens	Saudi Arabia	Jeddah		Alghoribi et al A				
VEN/Anz7498/2021	2021-03-12		B.1.111	MZ611974	3.00	20A	Older	0.12	202110	South America		Homo sapiens	Venezuela	Venezuela		Pujol et al B				
TUN/TUN_ADAGE_4681/2020	2020-07-07		B.1.36	MT955173	1.00	20A	Older	0.01	202028	Africa		Homo sapiens	Tunisia	Tunisia		Souissi et al A				
IND/GBRC507b/2020	2020-12-14		B.1.36.8	MZ266553	2.00	20A	Older	0.04	202051	Asia		Homo sapiens	India	India		Saiyed et al				
IND/GBRC-371/2020	2020-06-18		B.1.36.8	MT953868	1.00	20A	Older	0.01	202025	Asia		Homo sapiens	India	Gujarat		Trivedi et al		B.J. Medical College and Civil hospital, Ahmedabad	Gujarat Biotechnology Research Centre	
IND/GBRC331/2020	2020-07-27		B.1.36.8	MT940460	2.00	20A	Older	0.02	202031	Asia		Homo sapiens	India	Gujarat		Patel et al A		Sardar Vallabhbhai Patel Institute of Medical Sciences & Research	Gujarat Biotechnology Research Centre	
PAK/JRCGR_SCV-51_IBGE-03/2020	2020-12-11		B.1.36.31	MW960275	4.00	20A	Older	0.23	202050	Asia		Homo sapiens	Pakistan	Islamabad Capital Territory		Irfan et al A				
PAK/JRCGR_SCV-68/2020	2020-11-21		B.1.36.31	MW960290	3.00	20A	Older	0.21	202047	Asia		Homo sapiens	Pakistan	Sindh		Irfan et al B				
BHR/460056646/2020	2020-12-12		B.1.36.31	MW659092	3.00	20A	Older	0.19	202050	Asia		Homo sapiens	Bahrain	Bahrain		Alwasti et al A				
OV081696	2020-05-26		B.1.36.10	OV081696	2.00	20A	Older	0.04	202022	Asia		Homo sapiens	Saudi Arabia	Madinah		Naeem et al C		King Abdullah University of Science and Technology (KAUST)	King Abdullah University of Science and Technology	
OV009900	2020-08-23		B.1.36.10	OV009900	1.00	20A	Older	0.08	202035	Asia		Homo sapiens	Saudi Arabia	Madinah		Naeem et al D		King Abdullah University of Science and Technology (KAUST)	King Abdullah University of Science and Technology	
IRN/4058/2020	2020-09-25		B.1.36.8	MZ314348	2.00	20A	Older	0.04	202039	Asia		Homo sapiens	Iran	Iran		Zeinali et al				
IRN/3533/2020	2020-10-10		B.1.36.7	MZ314345	3.00	20A	Older	0.04	202041	Asia		Homo sapiens	Iran	Iran		Khosravi et al				
IRQ/NN_Erbil/2021	2021-01-20		B.1.36.1	MW527392	3.00	20A	Older	0.21	202103	Asia		Homo sapiens	Iraq	Iraq		Dler et al				
NZL/20CV0527/2020	2020-11-08		B.1.36	OK426860	2.00	20A	Older	0.04	202046	Oceania		Homo sapiens	New Zealand	Wellington		Ren et al K		Wellington SCL (WN)	Institute of Environmental Science and Research	
NZL/20CV0556/2020	2020-11-11		B.1.36	OK426592	2.00	20A	Older	0.04	202046	Oceania		Homo sapiens	New Zealand	Capital And Coast		Ren et al L		Wellington SCL (WN)	Institute of Environmental Science and Research	
NZL/20CV0563/2020	2020-11-18		B.1.36	OK426474	2.00	20A	Older	0.04	202047	Oceania		Homo sapiens	New Zealand	Wellington		Ren et al M		Wellington SCL (WN)	Institute of Environmental Science and Research	
PAK/JRCGR_SCV-99_QTA-03/2021	2021-02-01		B.1.36	MZ328045	2.00	20A	Older	0.01	202105	Asia		Homo sapiens	Pakistan	Pakistan		Irfan et al C				
MMR/DSMRC_007/2021	2021-01-09		B.1.36.16	MW491248	2.00	20A	Older	0.04	202101	Asia		Homo sapiens	Myanmar	Myanmar		Oo et al A				
OV091513	2020-06-27		B.1.36	OV091513	1.00	20A	Older	0.02	202026	Asia		Homo sapiens	Saudi Arabia	Madinah		Naeem et al E		King Abdullah University of Science and Technology (KAUST)	King Abdullah University of Science and Technology	
IND/KA-NIMH-SEQ-152/2021	2021-01-17		B.1.36	OM073938	1.00	20A	Older	0.07	202103	Asia		Homo sapiens	India	Karnataka		Pattabiraman et al				
LR992088	2020-08-25		B.1.36	LR992088	1.00	20A	Older	0.05	202035	Europe		Homo sapiens	Italy	Apulia		Chiara et al		Istituto Zooprofilattico Sperimentale Puglia e Basilicata; Dipartimento di Bioscienze, Biotecnologie e Biofarmaceutica dell’Università degli Studi di Bari “A.Moro”; Istituto di Biomembrane. Bioenergetica e Biotecnologie Molecolari del Consiglio Nazionale delle Ricerche di Bari	UNIVERSITY OF MILAN. DEPT. OF BIOSCIENCES	
NZL/20CV0065/2020	2020-06-19		B.1.36	OK426893	1.00	20A	Older	0.07	202025	Oceania		Homo sapiens	New Zealand	Auckland		Ren et al N		LabTests	Institute of Environmental Science and Research	
NZL/20CV0063/2020	2020-06-19		B.1.36	OK426941	1.00	20A	Older	0.06	202025	Oceania		Homo sapiens	New Zealand	Auckland		Ren et al O		LabTests	Institute of Environmental Science and Research	
NZL/20CV0223/2020	2020-08-30		B.1.36	OK427189	2.00	20A	Older	0.07	202036	Oceania		Homo sapiens	New Zealand	Canterbury		Ren et al P		Canterbury Health Laboratories	Institute of Environmental Science and Research	
IND/GBRC515/2020	2020-11-29		B.1.36	MZ268599	3.00	20A	Older	0.09	202049	Asia		Homo sapiens	India	India		Savaliya et al				
NZL/20CV0332/2020	2020-09-08		B.1.36.18	OK427120	2.00	20A	Older	0.09	202037	Oceania		Homo sapiens	New Zealand	Canterbury		Ren et al Q		Canterbury Health Laboratories	Institute of Environmental Science and Research	
NZL/20CV0362/2020	2020-09-21		B.1.36.18	OK427026	2.00	20A	Older	0.09	202039	Oceania		Homo sapiens	New Zealand	Canterbury		Ren et al R		LabPLUS	Institute of Environmental Science and Research	
HongKong/Case5111/2020	2020-10-01		B.1.36	MW181743	1.00	20A	Older	0.08	202040	Asia		Homo sapiens	Hong Kong	Hong Kong		Siu et al C				
HongKong/HKPU-00010/2021	2021-01-09		B.1.36.27	MW768959	1.00	20A	Older	0.08	202101	Asia		Homo sapiens	Hong Kong	Hong Kong		Wong et al				
CHN/RS4_pool/2021	2021-01-16		B.1.36.27	MZ578003	1.00	20A	Older	0.08	202102	Asia		Homo sapiens	China	China		Xu et al				
HongKong/HKPU-00163/2021	2021-04-10		B.1.36.27	MZ266512	1.00	20A	Older	0.08	202114	Asia		Homo sapiens	Hong Kong	Hong Kong		Siu et al D				
USA/WA-S2918/2020	2020-07-24		B.1	MW444831	1.00	20A	Older	0.01	202030	North America		Homo sapiens	USA	Washington		Nickerson et al A		Washington State Department of Health	Seattle Flu Study submission group	
LBN/LB-R12/2020	2020-03-20		B.1	MT801003	2.00	20A	Older	0.03	202012	Asia		Homo sapiens	Lebanon	Lebanon		Abdallah et al				
USA/NC-CDC-03068800-001/2020	2020-03-08		B.1	MT325589	1.00	20A	Older	0.01	202011	North America		Homo sapiens	USA	North Carolina		Li et al E				
USA/NC-CDC-03068803-001/2020	2020-03-08		B.1	MT344963	1.00	20A	Older	0.01	202011	North America		Homo sapiens	USA	North Carolina		Queen et al B				
MLT/Sliema_1/2020	2020-08-19		B.1	MW079418	1.00	20A	Older	0.01	202034	Europe		Homo sapiens	Malta	Malta		Biazzo et al A				
MLT/Sliema_4/2020	2020-09-07		B.1.389	MW079421	1.00	20A	Older	0.02	202037	Europe		Homo sapiens	Malta	Malta		Biazzo et al B				
ETH/S14/2021	2021-02-04		B.1.480	OL840815	2.00	20A	Older	0.09	202105	Africa		Homo sapiens	Ethiopia	Addis Ababa		Bitew et al B				
ETH/S2/2021	2021-01-26		B.1.480	OL840803	4.00	20A	Older	0.05	202104	Africa		Homo sapiens	Ethiopia	Addis Ababa		Bitew et al C				
ETH/S11/2021	2021-01-28		B.1.480	OL840812	5.00	20A	Older	0.04	202104	Africa		Homo sapiens	Ethiopia	Addis Ababa		Bitew et al D				
USA/NC-CDC-03068798-001/2020	2020-03-07		B.1	MT325590	1.00	20A	Older	0.01	202010	North America		Homo sapiens	USA	North Carolina		Li et al F				
FRA/IHUCOVID-014823-Nova1M/2020	2020-05-04		B.1	ON282247	1.00	20A	Older	0.03	202019	Europe		Homo sapiens	France	France		Levasseur et al C				
TUN/COV0425/2020	2020-03-27		B.1	MT499219	1.00	20A	Older	0.01	202013	Africa		Homo sapiens	Tunisia	Tunisia		Fares et al B				
FRA/IHUCOVID-015112-Nova1E/2020	2020-04-13		B.1	ON282747	1.00	20A	Older	0.01	202016	Europe		Homo sapiens	France	France		Levasseur et al D				
PAK/SARS-CoV-2_3/2020	2020-05-28		B.1	MW421984	1.00	20A	Older	0.00	202022	Asia		Homo sapiens	Pakistan	Punjab PK		Badar et al B				
OU453212	2020-06-14		B.1.159	OU453212	1.00	20A	Older	0.00	202025	Europe		Homo sapiens	Germany	Lower Saxony		? C		LAVES (Lower Saxony State Office for Consumer Protection and Food Safety), PO Box 3949, D-26029 Oldenburg	Robert Koch Institute	
BHR/023287015_S14_L001/2020	2020-07-25		B.1.281	MW228279	2.00	20A	Older	0.00	202030	Asia		Homo sapiens	Bahrain	Bahrain		AlWasti et al A				
GMB/GC19-029/2020	2020-04-20		B.1	MZ040130	1.00	20A	Older	0.01	202017	Africa		Homo sapiens	Gambia	Gambia		Kanteh et al A				
USA/FL-BPHL-1138/2020	2020-08-17		B.1	MT956748	1.00	20A	Older	0.05	202034	North America		Homo sapiens	USA	Florida		Schmedes et al A		Florida Bureau of Public Health Laboratories	FLDOH	
ETH/AH-003/2020	2020-11-10		B.1	MZ172409	3.00	20A	Older	0.07	202046	Africa		Homo sapiens	Ethiopia	Ethiopia		Alemayehu et al				
DJI/NAMRU3_E108/2020	2020-07-25		B.1	OK018273	2.00	20A	Older	0.10	202030	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al B				
DJI/NAMRU3_EB1/2020	2020-10-21		B.1	OK018288	2.00	20A	Older	0.10	202043	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al C				
DJI/NAMRU3_A11/2020	2020-11-16		B.1	MZ517141	2.00	20A	Older	0.10	202047	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al D				
ETH/S12/2021	2021-02-04		B.1	OL840813	2.00	20A	Older	0.11	202105	Africa		Homo sapiens	Ethiopia	Addis Ababa		Bitew et al E				
ETH/S5/2021	2021-01-23		B.1	OL840806	2.00	20A	Older	0.11	202103	Africa		Homo sapiens	Ethiopia	Addis Ababa		Bitew et al F				
ETH/39379_S7_L001_1/2020	2020-12-20		B.1	MW703380	1.00	20A	Older	0.08	202052	Africa		Homo sapiens	Ethiopia	Ethiopia		Weldemariam et al				
ETH/S15/2021	2021-05-01		B.1	OL840816	2.00	20A	Older	0.07	202117	Africa		Homo sapiens	Ethiopia	Addis Ababa		Bitew et al G				
USA/DC-DFS-PHL-0078/2020	2020-06-16		B.1.110.3	MZ487675	1.00	20A	Older	0.01	202025	North America		Homo sapiens	USA	Washington DC		Nguyen et al B				
CHL/Santiago-PUC_MVL_0011/2020	2020-03-18		B.1.110.1	MW365225	1.00	20A	Older	0.01	202012	South America		Homo sapiens	Chile	Chile		Direct Submission et al A				
CHL/Santiago-PUC_MVL_0071/2020	2020-03-26		B.1.110	MW365151	1.00	20A	Older	0.04	202013	South America		Homo sapiens	Chile	Chile		Direct Submission et al B				
CHL/Santiago-PUC_MVL_0088/2020	2020-03-29		B.1.110	MW365483	1.00	20A	Older	0.04	202014	South America		Homo sapiens	Chile	Chile		Direct Submission et al C				
CHL/Santiago-PUC_MVL_0084/2020	2020-03-30		B.1.110	MW365136	1.00	20A	Older	0.01	202014	South America		Homo sapiens	Chile	Chile		Direct Submission et al D				
CHL/Santiago-PUC_MVL_0083/2020	2020-03-30		B.1.110	MW365138	1.00	20A	Older	0.01	202014	South America		Homo sapiens	Chile	Chile		Direct Submission et al E				
CHL/Santiago-5092643/2020	2020-06-08		B.1.110	MW672165	1.00	20A	Older	0.01	202024	South America		Homo sapiens	Chile	Chile		Barriga et al A				
CHL/Santiago-PUC_MVL_0075/2020	2020-03-30		B.1.110	MW365155	1.00	20A	Older	0.01	202014	South America		Homo sapiens	Chile	Chile		Direct Submission et al F				
BEN/260/2020	2020-03-17		B.1	MT653072	2.00	20C	Older	-0.01	202012	Africa		Homo sapiens	Benin	Benin		Sander et al B				
LR963466	2020-03-01		B.1	LR963466	1.00	20C	Older	-0.03	202010	Africa		Homo sapiens	Zimbabwe	Zimbabwe		Alikhan et al B		National Microbiology Reference Laboratory	Quadram Institute Bioscience	
TWN/CGMH-CGU-17/2020	2020-03-17		B.1	MT374113	1.00	20C	Older	-0.03	202012	Asia		Homo sapiens	Taiwan	Taiwan		Gong et al				
LR963402	2020-03-01		B.1	LR963402	1.00	20C	Older	-0.02	202010	Africa		Homo sapiens	Zimbabwe	Zimbabwe		Alikhan et al C		National Microbiology Reference Laboratory	Quadram Institute Bioscience	
USA/PR-CDC-S19/2020	2020-04-01		B.1	MT419822	1.00	20C	Older	-0.04	202014	North America		Homo sapiens	USA	Puerto Rico		Santiago et al				
NZL/20CV0325/2020	2020-04-02		B.1	OK427122	2.00	20C	Older	-0.03	202014	Oceania		Homo sapiens	New Zealand	Midcentral		Ren et al S		Canterbury Health Laboratories	Institute of Environmental Science and Research	
VEN/3NE/2020	2020-04-10		B.1	MT907516	1.00	20C	Older	-0.04	202015	South America		Homo sapiens	Venezuela	Venezuela		Loureiro et al C				
USA/NJ-QDX-2430/2020	2020-03-16		B.1	MW191221	1.00	20C	Older	-0.03	202012	North America		Homo sapiens	USA	New Jersey		Rosenthal et al E		Quest Diagnostics	Quest Diagnostics	
AUS/VIC167/2020	2020-03-18		B.1.320	MT451070	2.00	20C	Older	-0.03	202012	Oceania		Homo sapiens	Australia	Victoria		Seemann et al D		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
DJI/NAMRU3_010/2020	2020-06-15		B.1.324	MZ970717	1.00	20C	Older	-0.02	202025	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al E				
DJI/NAMRU3_029/2020	2020-06-21		B.1.324	MZ970727	1.00	20C	Older	-0.02	202026	Africa		Homo sapiens	Djibouti	Djibouti		Arnold et al F				
CZE/IAB_10/2020	2020-03-31		B.1	MT517424	1.00	20C	Older	-0.03	202014	Europe		Homo sapiens	Czech Republic	Czech Republic		Broz et al A				
GEO/Tb-27822/2020	2020-06-11		B.1	MT834849	1.00	20C	Older	-0.00	202024	Asia		Homo sapiens	Georgia	Georgia (Asia)		Pantsulaia et al				
AUS/VIC1641/2020	2020-05-02		B.1.338	MT612233	1.00	20C	Older	-0.03	202018	Oceania		Homo sapiens	Australia	Victoria		Caly et al I		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/VIC1667/2020	2020-05-10		B.1.338	MT612255	1.00	20C	Older	-0.03	202020	Oceania		Homo sapiens	Australia	Victoria		Caly et al J		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
USA/IL-QDX-258/2020	2020-04-30		B.1	MT806784	1.00	20C	Older	-0.03	202018	North America		Homo sapiens	USA	Illinois		Rosenthal et al F				
USA/FL-BPHL-2046/2020	2020-06-19		B.1	MW286589	1.00	20C	Older	-0.02	202025	North America		Homo sapiens	USA	Florida		Schmedes et al B		Florida Bureau of Public Health Laboratories	FLDOH	
TUN/TUN-202061628/2020	2020-11-23		B.1.356	MW365358	1.00	20C	Older	-0.03	202048	Africa		Homo sapiens	Tunisia	Tunisia		Boutiba-Ben Boubaker et al C				
BEN/1409/2020	2020-04-06		B.1.356	MT653077	1.00	20C	Older	-0.03	202015	Africa		Homo sapiens	Benin	Benin		Sander et al C				
GAB/62_Gabon/2020	2020-03-16		B.1.356	OM731937	1.00	20C	Older	-0.03	202012	Africa		Homo sapiens	Gabon	Gabon		Lekana-Douki et al A				
BEN/1408/2020	2020-04-04		B.1.356	MT653074	1.00	20C	Older	-0.03	202014	Africa		Homo sapiens	Benin	Benin		Sander et al D				
KEN/S304/2020	2020-03-29		B.1	OL913331	1.00	20C	Older	-0.03	202014	Africa		Homo sapiens	Kenya	Kenya		Githinji et al C				
TUN/TUN_ADAGE_5004/2020	2020-07-09		B.1.597	MT955174	2.00	20C	Older	-0.00	202028	Africa		Homo sapiens	Tunisia	Tunisia		Souissi et al B				
FRA/IHUCOVID-035225_Nova1/2020	2020-08-06		B.1.367	ON278473	2.00	20C	Older	0.02	202032	Europe		Homo sapiens	France	France		Levasseur et al E				
TWN/CGMH-CGU-38/2020	2020-11-01		B.1.367	MZ020646	3.00	20C	Older	0.01	202045	Asia		Homo sapiens	Taiwan	Taiwan		Tsao et al C				
NZL/20CV0298/2020	2020-03-26		B.1.369	OK426610	1.00	20C	Older	-0.03	202013	Oceania		Homo sapiens	New Zealand	South Canterbury		Ren et al T		Canterbury Health Laboratories	Institute of Environmental Science and Research	
USA/DC-DFS-PHL-01025/2020	2020-04-28		B.1.369	OK644188	1.00	20C	Older	-0.03	202018	North America		Homo sapiens	USA	Washington DC		Nguyen et al C				
USA/MN-MDH-1455/2020	2020-06-24		B.1.564	MT897461	1.00	20C	Older	-0.03	202026	North America		Homo sapiens	USA	Minnesota		Plumb et al A				
USA/MN-MDH-2326/2021	2021-01-04		B.1.564	MW592797	1.00	20C	Older	-0.02	202101	North America		Homo sapiens	USA	Minnesota		Lorentz et al A				
USA/NJ-QDX-3392/2020	2020-10-23		B.1.369	MW522444	2.00	20C	Older	-0.05	202043	North America		Homo sapiens	USA	New Jersey		Rosenthal et al G				
USA/WA-S5165/2021	2021-02-20		B.1.369	MW698990	2.00	20C	Older	-0.01	202107	North America		Homo sapiens	USA	Washington		Nickerson et al B		Altius Institute	Seattle Flu Study submission group	
NZL/20VR1937/2020	2020-04-01		B.1.369	OK426554	1.00	20C	Older	-0.03	202014	Oceania		Homo sapiens	New Zealand	Southland		Ren et al U		Southern Community Labs Dunedin	Institute of Environmental Science and Research	
NZL/20VR2032/2020	2020-04-01		B.1.369	OK426706	1.00	20C	Older	-0.03	202014	Oceania		Homo sapiens	New Zealand	Wellington		Ren et al V		Wellington SCL (WN)	Institute of Environmental Science and Research	
USA/290-NP-OP/2020	2020-06-29		B.1	MW001284	1.00	20C	Older	-0.05	202027	North America		Homo sapiens	USA	Pennsylvania		Everett et al A				
USA/VSP0230/2020	2020-06-29		B.1	OK245572	1.00	20C	Older	-0.05	202027	North America		Homo sapiens	USA	Pennsylvania		Marques et al A				
KOR/YS006/2020	2020-06-04		B.1.497	MW345824	1.00	20C	Older	-0.04	202023	Asia		Homo sapiens	South Korea	Seoul		Kim et al E		Division of Infectious Diseases, Department of Internal Medicine, Yonsei University College of Medicine	Yonsei University	
KOR/ADD-4/2020	2020-12-16		B.1.497	MZ004106	1.00	20C	Older	-0.04	202051	Asia		Homo sapiens	South Korea	South Korea		Song et al				
SLE/SL04/2020	2020-12-07		B.1.509	MZ411527	1.00	20C	Older	-0.04	202050	Africa		Homo sapiens	Sierra Leone	Sierra Leone		Wurie et al A				
USA/UMW21363092/2020	2020-09-18		B.1.509	MW882467	1.00	20C	Older	-0.04	202038	North America		Homo sapiens	USA	Rhode Island		Ward et al A				
